trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,fees,slippage_estimate,net_pnl,exit_reason,hold_time_seconds
T000033,SUIUSDT,buy,2026-04-17T12:02:01.550549,2026-04-17T12:18:20.079197,0.9962,1.0088,60,0.7560,0.120300,0,0.635700,tp,978.528648
T000034,ETHUSDT,buy,2026-04-17T12:41:02.492827,2026-04-17T12:53:31.691175,2354.59,2381.13,0.01,0.2654,0.0711685,0.00,0.1942315,tp,749.198348
T000035,SUIUSDT,buy,2026-04-17T13:03:01.323845,2026-04-17T13:42:22.562632,1.0066,1.0336,10,0.2700,0.030738,0,0.239262,tp,2361.238787
T000001,DOGEUSDT,sell,2026-04-17T14:58:27.016233,2026-04-17T16:46:43.400970,0.10075,0.10165,292,-0.26280,0.0296818,29.68180,-29.9742818,sl,6496.384737
T000002,SUIUSDT,sell,2026-04-17T19:01:04.377242,2026-04-17T19:17:20.057583,1.0117,1.016,10,-0.0430,0.020277,0.001750,-0.065027,sl,975.680341
T000003,XRPUSDT,buy,2026-04-17T19:41:01.512275,2026-04-17T20:17:06.568926,1.4896,1.4838,83,-0.4814,0.2467922,0,-0.7281922,sl,2165.056651
T000004,SUIUSDT,sell,2026-04-17T20:32:07.157203,2026-04-17T20:56:03.666083,1.0065,1.0109,10,-0.0440,0.040392,0.0000,-0.084392,sl,1436.50888
T000005,SUIUSDT,buy,2026-04-17T21:27:11.768075,2026-04-17T21:39:23.192467,1.0121,1.0076,10,-0.0450,0.020197,0.00250,-0.067697,sl,731.424392
