trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,fees,slippage_estimate,net_pnl,exit_reason,hold_time_seconds
T000004,SUIUSDT,buy,2026-04-10T12:31:01.656180,2026-04-10T18:54:53.494007,0.938,0.9598,70,1.5260,0.132846,0,1.393154,tp,23031.837827
T000005,SUIUSDT,buy,2026-04-10T19:07:04.597345,2026-04-10T19:20:54.979171,0.9619,0.9571,20,-0.0960,0.028809,0.000750,-0.125559,sl,830.381826
T000006,SUIUSDT,buy,2026-04-10T20:02:01.180762,2026-04-10T20:07:08.595845,0.9601,0.9563,20,-0.0760,0.038328,0.001500,-0.115828,sl,307.415083
T000007,SUIUSDT,sell,2026-04-10T20:37:05.107215,2026-04-10T22:04:49.007539,0.9513,0.9514,20,-0.0020,0.038054,0.0020,-0.042054,sl,5263.900324
