trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,fees,slippage_estimate,net_pnl,exit_reason,hold_time_seconds
T000036,DOGEUSDT,buy,2026-02-14T15:02:00.672982,2026-02-14T17:13:02.938518,0.10291,0.10546,853,2.17515,0.17773961,0,1.99741039,tp,7862.265536
T000037,DOGEUSDT,buy,2026-02-14T21:07:27.659678,2026-02-14T21:23:44.793775,0.11189,0.11084,95,-0.09975,0.01373307,0.00056,-0.11404307,sl,977.134097
T000038,DOGEUSDT,buy,2026-02-14T22:21:02.170426,2026-02-14T23:22:52.699965,0.11179,0.11085,817,-0.76798,0.18488983,0.0232100,-0.97607983,sl,3710.529539
