trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,fees,slippage_estimate,net_pnl,exit_reason,hold_time_seconds
T000008,DOGEUSDT,sell,2026-04-11T13:21:15.366344,2026-04-11T15:17:28.846904,0.09252,0.0929,1046,-0.39748,0.10662332,0.0007950,-0.50489832,sl,6973.48056
T000009,SUIUSDT,buy,2026-04-11T18:57:47.138440,2026-04-11T20:17:13.580477,0.9522,0.9634,150,1.6800,0.28734,0,1.39266,tp,4766.442037
T000010,SUIUSDT,sell,2026-04-11T20:18:03.575502,2026-04-11T21:02:02.223708,0.9628,0.9502,20,0.2520,0.152284,0,0.099716,tp,2638.648206
