trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,fees,slippage_estimate,net_pnl,exit_reason,hold_time_seconds
T000027,SUIUSDT,buy,2026-04-16T12:12:01.953212,2026-04-16T13:18:12.188170,0.9757,0.9904,50,0.7350,0.098305,0,0.636695,tp,3970.234958
T000028,DOGEUSDT,buy,2026-04-16T13:28:15.716690,2026-04-16T13:36:54.816105,0.09762,0.09708,483,-0.26082,0.09404010,0,-0.35486010,sl,519.099415
T000029,SUIUSDT,sell,2026-04-16T14:07:13.870762,2026-04-16T15:36:59.207150,0.9674,0.9825,10,-0.1510,0.019499,0.00050,-0.170999,sl,5385.336388
T000030,SOLUSDT,buy,2026-04-16T15:56:01.586225,2026-04-16T16:50:04.083169,86.65,86.08,0.4,-0.228,0.069092,0.00300,-0.300092,sl,3242.496944
T000031,SUIUSDT,sell,2026-04-16T17:08:17.362435,2026-04-16T17:43:01.873082,0.9738,0.9798,10,-0.0600,0.019536,0.001250,-0.080786,sl,2084.510647
T000032,DOGEUSDT,buy,2026-04-16T18:02:04.478132,2026-04-16T20:40:27.335615,0.09796,0.09796,404,0.00000,0.07915168,0.00000,-0.07915168,sl,9502.857483
