trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,fees,slippage_estimate,net_pnl,exit_reason,hold_time_seconds
T000014,DOGEUSDT,buy,2026-04-13T13:05:04.037277,2026-04-13T13:23:25.696612,0.09153,0.09115,111,-0.04218,0.14980163,0,-0.19198163,sl,1101.659335
T000015,DOGEUSDT,buy,2026-04-13T14:01:03.117112,2026-04-13T22:16:18.724685,0.09189,0.09363,111,0.19314,0.10411068,0,0.08902932,tp,29715.607573
