trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,fees,slippage_estimate,net_pnl,exit_reason,hold_time_seconds
T000022,ETHUSDT,buy,2026-04-15T12:04:09.643117,2026-04-15T13:04:43.262862,2335.9,2326.75,0.06,-0.5490,0.186689,0.001050000000004,-0.736739000000004,sl,3633.619745
T000023,SUIUSDT,sell,2026-04-15T13:33:01.444473,2026-04-15T14:17:16.625313,0.9461,0.9505,130,-0.5720,0.132498,0.0007499999999990,-0.7052479999999990,sl,2655.18084
T000024,DOGEUSDT,buy,2026-04-15T14:33:19.489084,2026-04-15T14:39:09.885020,0.09403,0.0936,628,-0.27004,0.11783164,0,-0.38787164,sl,350.395936
T000025,SOLUSDT,buy,2026-04-15T15:12:01.303951,2026-04-15T15:30:47.901518,84.04,83.59,0.6,-0.270,0.100578,0.01050,-0.381078,sl,1126.597567
T000026,SOLUSDT,sell,2026-04-15T15:46:03.247843,2026-04-15T16:14:37.496214,83.95,84.37,0.6,-0.252,0.100992,0.00150,-0.354492,sl,1714.248371
