trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,fees,slippage_estimate,net_pnl,exit_reason,hold_time_seconds
T000001,SOLUSDT,sell,2026-04-09T14:14:01.167083,2026-04-09T15:15:09.349790,82.13,82.53,1.4,-0.560,0.008253,8.253,-8.821253,sl,3668.182707
T000002,SUIUSDT,sell,2026-04-09T15:34:03.468660,2026-04-09T15:35:53.282722,0.9268,0.9337,20,-0.1380,0.027873,0.0000,-0.165873,sl,109.814062
T000003,XRPUSDT,buy,2026-04-09T15:58:01.767509,2026-04-09T22:53:26.206417,1.3522,1.3522,4.2,0.00000,0.01081760,0.00000,-0.01081760,sl,24924.438908
