trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,fees,slippage_estimate,net_pnl,exit_reason,hold_time_seconds
T000016,SUIUSDT,sell,2026-04-14T12:40:03.517768,2026-04-14T13:30:01.739974,0.9436,0.9477,20,-0.0820,0.037826,0.0020,-0.121826,sl,2998.222206
T000017,SUIUSDT,buy,2026-04-14T13:55:02.862784,2026-04-14T14:08:48.384660,0.9596,0.9523,20,-0.1460,0.095376,0.002000,-0.243376,sl,825.521876
T000018,SUIUSDT,buy,2026-04-14T14:33:04.219464,2026-04-14T14:37:31.552595,0.9594,0.9529,20,-0.1300,0.028717,0.001250,-0.159967,sl,267.333131
T000019,SUIUSDT,sell,2026-04-14T14:53:23.180860,2026-04-14T18:23:37.558270,0.95,0.9336,20,0.3280,0.11236,0,0.21564,tp,12614.37741
T000020,SUIUSDT,sell,2026-04-14T18:24:18.320910,2026-04-14T20:02:49.794173,0.9332,0.9333,20,-0.0020,0.139993,0.0130,-0.154993,sl,5911.473263
T000021,SOLUSDT,sell,2026-04-14T21:05:03.969318,2026-04-14T23:39:15.015890,83.83,83.83,0.1,0.000,0.033532,0.000,-0.033532,sl,9251.046572
